livelihood_zone_corrected,livelihood_system,year,season,debt_level,herd_size,crop_production
NE Northern Inland Pastoral,Pastoral,2024,Deyr,644.9275362,50.20289855,0
NW Agropastoral,Agropastoral,2024,Deyr,677.7419355,23.5,10868
NW Hawd Pastoral,Pastoral,2024,Deyr,377.2916667,48.35294118,0
NW Northern Inland Pastoral,Pastoral,2024,Deyr,443.8888889,52.44444444,0
Shabelle Agropastoral,Agropastoral,2024,Deyr,109.4642857,38.17241379,3750
Shabelle Riverine,Riverine,2024,Deyr,109.4642857,0,16050
West Golis Pastoral,Pastoral,2024,Deyr,331.25,58.83333333,0
Addun Pastoral,Pastoral,2024,Gu,525.3333333,37,0
Bay Agropastoral,Agropastoral,2024,Gu,26,28.46666667,15412
Central/NE Hawd Pastoral,Pastoral,2024,Gu,447.9666667,49.6,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2024,Gu,241,0,0
East Golis Pastoral,Pastoral,2024,Gu,678.0952381,38.54761905,0
Gedo Pastoral,Pastoral,2024,Gu,112.5,46.75,0
Gedo Riverine,Riverine,2024,Gu,77,0,1700
Guban Pastoral,Pastoral,2024,Gu,294.2857143,53.07142857,0
NE Northern Inland Pastoral,Pastoral,2024,Gu,561.3043478,42.33333333,0
NW Agropastoral,Agropastoral,2024,Gu,508.1034483,23.5,10868
NW Hawd Pastoral,Pastoral,2024,Gu,339.3617021,44.29787234,0
NW Northern Inland Pastoral,Pastoral,2024,Gu,497.6136364,45.15909091,0
Shabelle Agropastoral,Agropastoral,2024,Gu,82.58823529,33.26470588,5632
Shabelle Riverine,Riverine,2024,Gu,82.58823529,0,22970
West Golis Pastoral,Pastoral,2024,Gu,301.25,54.16666667,0
Addun Pastoral,Pastoral,2025,Deyr,563.75,30.625,0
Bay Agropastoral,Agropastoral,2025,Deyr,119.6296296,24.85185185,2000
Central/NE Hawd Pastoral,Pastoral,2025,Deyr,601.4754209,43.02040816,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2025,Deyr,241,0,0
East Golis Pastoral,Pastoral,2025,Deyr,1060.588235,31.82352941,0
Gedo Pastoral,Pastoral,2025,Deyr,160.25,41.6,0
Gedo Riverine,Riverine,2025,Deyr,95,0,1450
Guban Pastoral,Pastoral,2025,Deyr,408.75,38.33333333,0
NE Northern Inland Pastoral,Pastoral,2025,Deyr,953.6956522,40.08695652,0
NW Agropastoral,Agropastoral,2025,Deyr,797.7272727,23.5,2665
NW Hawd Pastoral,Pastoral,2025,Deyr,411.9230769,45.775,0
NW Northern Inland Pastoral,Pastoral,2025,Deyr,587.7380952,43.19047619,0
Shabelle Agropastoral,Agropastoral,2025,Deyr,98.42307692,29.69230769,255
Shabelle Riverine,Riverine,2025,Deyr,98.42307692,0,4890
West Golis Pastoral,Pastoral,2025,Deyr,436.5,44,0
Addun Pastoral,Pastoral,2025,Gu,540.952381,36.14285714,0
Bay Agropastoral,Agropastoral,2025,Gu,48.86363636,25.72727273,35620.8
Central/NE Hawd Pastoral,Pastoral,2025,Gu,551.0714286,49.05357143,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2025,Gu,241,0,0
East Golis Pastoral,Pastoral,2025,Gu,787,38.575,0
Gedo Pastoral,Pastoral,2025,Gu,110.5,54.7,0
Gedo Riverine,Riverine,2025,Gu,54,0,2305
Guban Pastoral,Pastoral,2025,Gu,283.75,49.5,0
NE Northern Inland Pastoral,Pastoral,2025,Gu,700.8955224,45.44776119,0
NW Agropastoral,Agropastoral,2025,Gu,717.3333333,23.5,2665
NW Hawd Pastoral,Pastoral,2025,Gu,365,49.86956522,0
NW Northern Inland Pastoral,Pastoral,2025,Gu,439.8863636,49.65909091,0
Shabelle Agropastoral,Agropastoral,2025,Gu,91.52173913,31.82608696,20280
Shabelle Riverine,Riverine,2025,Gu,91.52173913,0,34500
West Golis Pastoral,Pastoral,2025,Gu,350.4347826,54.26086957,0
